Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
Hon.,Steven,Guilbeault,Laurier—Sainte-Marie,Quebec,Liberal,2021-09-20 0:00,
Hon.,Patty,Hajdu,Thunder Bay—Superior North,Ontario,Liberal,2021-09-20 0:00,
,Jasraj Singh,Hallan,Calgary Forest Lawn,Alberta,Conservative,2021-09-20 0:00,
,Brendan,Hanley,Yukon,Yukon,Liberal,2021-09-20 0:00,
,Ken,Hardie,Fleetwood—Port Kells,British Columbia,Liberal,2021-09-20 0:00,
,Lisa,Hepfner,Hamilton Mountain,Ontario,Liberal,2021-09-20 0:00,
,Randy,Hoback,Prince Albert,Saskatchewan,Conservative,2021-09-20 0:00,
Hon.,Mark,Holland,Ajax,Ontario,Liberal,2021-09-20 0:00,
,Anthony,Housefather,Mount Royal,Quebec,Liberal,2021-09-20 0:00,
,Carol,Hughes,Algoma—Manitoulin—Kapuskasing,Ontario,NDP,2021-09-20 0:00,
Hon.,Ahmed,Hussen,York South—Weston,Ontario,Liberal,2021-09-20 0:00,
Hon.,Gudie,Hutchings,Long Range Mountains,Newfoundland and Labrador,Liberal,2021-09-20 0:00,
,Angelo,Iacono,Alfred-Pellan,Quebec,Liberal,2021-09-20 0:00,
,Lori,Idlout,Nunavut,Nunavut,NDP,2021-09-20 0:00,
Hon.,Marci,Ien,Toronto Centre,Ontario,Liberal,2021-09-20 0:00,
Hon.,Helena,Jaczek,Markham—Stouffville,Ontario,Liberal,2021-09-20 0:00,
,Matt,Jeneroux,Edmonton Riverbend,Alberta,Conservative,2021-09-20 0:00,
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2021-09-20 0:00,
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2021-09-20 0:00,
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2021-09-20 0:00,
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2021-09-20 0:00,
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2021-09-20 0:00,
,Arielle,Kayabaga,London West,Ontario,Liberal,2021-09-20 0:00,
,Mike,Kelloway,Cape Breton—Canso,Nova Scotia,Liberal,2021-09-20 0:00,
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20 0:00,
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20 0:00,
Hon.,Kamal,Khera,Brampton West,Ontario,Liberal,2021-09-20 0:00,
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2021-09-20 0:00,
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2021-09-20 0:00,
,Annie,Koutrakis,Vimy,Quebec,Liberal,2021-09-20 0:00,
,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2021-09-20 0:00,
,Shelby,Kramp-Neuman,Hastings—Lennox and Addington,Ontario,Conservative,2021-09-20 0:00,
,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative,2021-09-20 0:00,
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2021-09-20 0:00,
,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2021-09-20 0:00,
,Jenny,Kwan,Vancouver East,British Columbia,NDP,2021-09-20 0:00,
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2021-09-20 0:00,
,Marie-France,Lalonde,Orléans,Ontario,Liberal,2021-09-20 0:00,
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2021-09-20 0:00,
Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2021-09-20 0:00,
,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2021-09-20 0:00,
,Melissa,Lantsman,Thornhill,Ontario,Conservative,2021-09-20 0:00,
,Viviane,Lapointe,Sudbury,Ontario,Liberal,2021-09-20 0:00,
,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,2021-09-20 0:00,
,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2021-09-20 0:00,
,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2021-09-20 0:00,
,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative,2021-09-20 0:00,
Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2021-09-20 0:00,
Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2021-09-20 0:00,
,Richard,Lehoux,Beauce,Quebec,Conservative,2021-09-20 0:00,
,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,2021-09-20 0:00,
,Chris,Lewis,Essex,Ontario,Conservative,2021-09-20 0:00,
,Leslyn,Lewis,Haldimand—Norfolk,Ontario,Conservative,2021-09-20 0:00,
,Ron,Liepert,Calgary Signal Hill,Alberta,Conservative,2021-09-20 0:00,
,Joël,Lightbound,Louis-Hébert,Quebec,Liberal,2021-09-20 0:00,
,Dane,Lloyd,Sturgeon River—Parkland,Alberta,Conservative,2021-09-20 0:00,
,Ben,Lobb,Huron—Bruce,Ontario,Conservative,2021-09-20 0:00,
